Title,Story
The Tell-Tale Heart,mournful influence unperceived shadow cause feel see hear feel presence head room.
The Tell-Tale Heart,wait long time patiently hear lie resolve open little little crevice lantern.
The Tell-Tale Heart,open imagine stealthily stealthily length simple dim ray like thread spider shot crevice fall vulture eye.
The Tell-Tale Heart,open wide wide open grow furious gaze.
The Tell-Tale Heart,see perfect distinctness dull blue hideous veil chill marrow bone old man face person direct ray instinct precisely damned spot.
The Tell-Tale Heart,tell mistake madness acuteness sense.
The Tell-Tale Heart,come ear low dull quick sound watch make envelop cotton.
The Tell-Tale Heart,beating old man heart.
The Tell-Tale Heart,increase fury beating drum stimulate soldier courage.
The Tell-Tale Heart,hold lantern motionless.
The Tell-Tale Heart,try steadily maintain ray eye.
The Tell-Tale Heart,meantime hellish tattoo heart increase.
The Tell-Tale Heart,grow quick quick loud louder instant.
The Tell-Tale Heart,old man terror extreme.
The Tell-Tale Heart,grow louder louder moment.
The Tell-Tale Heart,dead hour night amid dreadful silence old house strange noise excite uncontrollable terror.
The Tell-Tale Heart,minute long refrain stand.
The Tell-Tale Heart,beating grow louder louder.
The Tell-Tale Heart,think heart burst.
The Tell-Tale Heart,new anxiety seize sound hear neighbour.
The Tell-Tale Heart,old man hour come.
The Tell-Tale Heart,loud yell throw open lantern leap room.
The Tell-Tale Heart,instant drag floor pull heavy bed.
The Tell-Tale Heart,smile gaily find deed far.
The Tell-Tale Heart,minute heart beat muffle sound.
The Tell-Tale Heart,vex hear wall.
The Tell-Tale Heart,old man dead.
The Tell-Tale Heart,remove bed examine corpse.
The Tell-Tale Heart,yes stone stone dead.
The Tell-Tale Heart,place hand heart hold minute.
The Tell-Tale Heart,think mad think long describe wise precaution take concealment body.
The Tell-Tale Heart,night wane work hastily silence.
The Tell-Tale Heart,cut head arm leg.
The Tell-Tale Heart,take plank flooring chamber deposit scantling.
The Tell-Tale Heart,replace board cleverly cunningly human eye detect thing wrong.
The Tell-Tale Heart,wash stain kind blood spot.
The Tell-Tale Heart,tub catch ha.
The Tell-Tale Heart,end labor o'clock dark midnight.
The Tell-Tale Heart,bell sound hour come knocking street door.
The Tell-Tale Heart,go open light heart fear.
The Tell-Tale Heart,enter man introduce perfect suavity officer police.
The Tell-Tale Heart,shriek hear neighbour night suspicion foul play arouse information lodge police office officer depute search premise.
The Tell-Tale Heart,bade gentleman welcome.
The Tell-Tale Heart,shriek say dream.
The Tell-Tale Heart,old man mention absent country.
The Tell-Tale Heart,take visitor house.
The Tell-Tale Heart,bade search search.
The Tell-Tale Heart,lead length chamber.
The Tell-Tale Heart,show treasure secure undisturbed.
The Tell-Tale Heart,enthusiasm confidence bring chair room desire rest fatigue wild audacity perfect triumph place seat spot beneath repose corpse victim.
The Tell-Tale Heart,sit answer cheerily chat familiar thing.
The Tell-Tale Heart,ere long feel get pale wish go.
The Tell-Tale Heart,head ache fancy ringing ear sit chat.
The Tell-Tale Heart,ringing distinct continue distinct talk freely rid feeling continue gain definiteness length find noise ear.
The Tell-Tale Heart,doubt grow pale talk fluently heighten voice.
The Tell-Tale Heart,low dull quick sound sound watch make envelop cotton.
The Tell-Tale Heart,gasp breath officer hear.
The Tell-Tale Heart,talk quickly vehemently noise steadily increase.
The Tell-Tale Heart,arise argue trifle high key violent gesticulation noise steadily increase.
The Tell-Tale Heart,pace floor fro heavy stride excited fury observation man noise steadily increase.
The Tell-Tale Heart,foam rave swear.
The Tell-Tale Heart,swing chair sit grate board noise arise continually increase.
The Tell-Tale Heart,grow louder louder louder.
The Tell-Tale Heart,man chat pleasantly smile.
The Tell-Tale Heart,make mockery horror.
The Tell-Tale Heart,bear hypocritical smile long.
The Tell-Tale Heart,feel scream die.
The Tell-Tale Heart,beating hideous heart.
